"Name","DisplayName"
"Appinfo","Application Information"
"AppXSvc","AppX Deployment Service (AppXSVC)"
"AudioEndpointBuilder","Windows Audio Endpoint Builder"
"Audiosrv","Windows Audio"
"BFE","Base Filtering Engine"
"BrokerInfrastructure","Background Tasks Infrastructure Service"
"BTAGService","Bluetooth Audio Gateway Service"
"BthAvctpSvc","AVCTP service"
"bthserv","Bluetooth Support Service"
"camsvc","Capability Access Manager Service"
"cbdhsvc_ea3f2","Clipboard User Service_ea3f2"
"CDPSvc","Connected Devices Platform Service"
"CDPUserSvc_ea3f2","Connected Devices Platform User Service_ea3f2"
"ClipSVC","Client License Service (ClipSVC)"
"CoreMessagingRegistrar","CoreMessaging"
"CryptSvc","Cryptographic Services"
"DcomLaunch","DCOM Server Process Launcher"
"DeviceAssociationService","Device Association Service"
"DevicePickerUserSvc_ea3f2","DevicePicker_ea3f2"
"DevicesFlowUserSvc_ea3f2","DevicesFlow_ea3f2"
"Dhcp","DHCP Client"
"DiagTrack","Connected User Experiences and Telemetry"
"DispBrokerDesktopSvc","Display Policy Service"
"DisplayEnhancementService","Display Enhancement Service"
"Dnscache","DNS Client"
"DPS","Diagnostic Policy Service"
"DsSvc","Data Sharing Service"
"DusmSvc","Data Usage"
"EventLog","Windows Event Log"
"EventSystem","COM+ Event System"
"fdPHost","Function Discovery Provider Host"
"FDResPub","Function Discovery Resource Publication"
"fhsvc","File History Service"
"FontCache","Windows Font Cache Service"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0"
"Hamachi2Svc","LogMeIn Hamachi Tunneling Engine"
"HPPrintScanDoctorService","HP Print Scan Doctor Service"
"IBMPMSVC","Lenovo PM Service"
"ibtsiva","Intel Bluetooth Service"
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service"
"IKEEXT","IKE and AuthIP IPsec Keying Modules"
"InstallService","Microsoft Store Install Service"
"Intel(R) TPM Provisioning Service","Intel(R) TPM Provisioning Service"
"iphlpsvc","IP Helper"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service"
"KeyIso","CNG Key Isolation"
"LanmanServer","Server"
"LanmanWorkstation","Workstation"
"Lenovo Instant On","Lenovo EasyResume Service"
"LENOVO.MICMUTE","Lenovo Microphone Mute"
"lfsvc","Geolocation Service"
"LicenseManager","Windows License Manager Service"
"LMIGuardianSvc","LMIGuardianSvc"
"LSM","Local Session Manager"
"mpssvc","Windows Defender Firewall"
"NcbService","Network Connection Broker"
"Netman","Network Connections"
"netprofm","Network List Service"
"NlaSvc","Network Location Awareness"
"nsi","Network Store Interface Service"
"OneSyncSvc_ea3f2","Sync Host_ea3f2"
"PcaSvc","Program Compatibility Assistant Service"
"PhoneSvc","Phone Service"
"PimIndexMaintenanceSvc_ea3f2","Contact Data_ea3f2"
"PlugPlay","Plug and Play"
"Power","Power"
"ProfSvc","User Profile Service"
"RasMan","Remote Access Connection Manager"
"RmSvc","Radio Management Service"
"RpcEptMapper","RPC Endpoint Mapper"
"RpcSs","Remote Procedure Call (RPC)"
"RtkAudioService","Realtek Audio Service"
"SamSs","Security Accounts Manager"
"Schedule","Task Scheduler"
"SecurityHealthService","Windows Security Service"
"SEMgrSvc","Payments and NFC/SE Manager"
"SENS","System Event Notification Service"
"SgrmBroker","System Guard Runtime Monitor Broker"
"ShellHWDetection","Shell Hardware Detection"
"Spooler","Print Spooler"
"SSDPSRV","SSDP Discovery"
"SstpSvc","Secure Socket Tunneling Protocol Service"
"StateRepository","State Repository Service"
"Steam Client Service","Steam Client Service"
"stisvc","Windows Image Acquisition (WIA)"
"StorSvc","Storage Service"
"SynTPEnhService","SynTPEnh Caller Service"
"SysMain","SysMain"
"SystemEventsBroker","System Events Broker"
"TabletInputService","Touch Keyboard and Handwriting Panel Service"
"Themes","Themes"
"TimeBrokerSvc","Time Broker"
"TokenBroker","Web Account Manager"
"TPHKLOAD","Lenovo Hotkey Client Loader"
"TrkWks","Distributed Link Tracking Client"
"UnistoreSvc_ea3f2","User Data Storage_ea3f2"
"UserDataSvc_ea3f2","User Data Access_ea3f2"
"UserManager","User Manager"
"UsoSvc","Update Orchestrator Service"
"valWBFPolicyService","Synaptics FP WBF Policy Service"
"valWbioSyncSvc","BiometricSensorDataSynchronization"
"VaultSvc","Credential Manager"
"VMAuthdService","VMware Authorization Service"
"VMnetDHCP","VMware DHCP Service"
"VMUSBArbService","VMware USB Arbitration Service"
"VMware NAT Service","VMware NAT Service"
"VMwareHostd","VMware Workstation Server"
"W32Time","Windows Time"
"WbioSrvc","Windows Biometric Service"
"Wcmsvc","Windows Connection Manager"
"WdiServiceHost","Diagnostic Service Host"
"WdiSystemHost","Diagnostic System Host"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service"
"WinDefend","Microsoft Defender Antivirus Service"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Windows Management Instrumentation"
"WlanSvc","WLAN AutoConfig"
"wlidsvc","Microsoft Account Sign-in Assistant"
"WpnService","Windows Push Notifications System Service"
"WpnUserService_ea3f2","Windows Push Notifications User Service_ea3f2"
"wscsvc","Security Center"
"WSearch","Windows Search"
